stitch_id,drug_name,smiles
CID100002173,ampicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C
CID100002177,amprenavir,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N
CID100002179,amsacrine,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42
CID100002182,anagrelide,C1C2=C(C=CC(=C2Cl)Cl)N=C3N1CC(=O)N3
CID100002187,anastrozole,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
CID100002215,apomorphine,CN1CCC2=C3C1CC4=C(C3=CC=C2)C(=C(C=C4)O)O
CID100002216,apraclonidine,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl
CID100002232,argatroban,CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C
CID100002244,aspirin,CC(=O)OC1=CC=CC=C1C(=O)O
CID100002249,atenolol,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
CID100002250,atorvastatin,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4
CID100002265,azathioprine,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
CID100002266,azelaic,C(CCCC(=O)O)CCCC(=O)O
CID100002267,azelastine,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl
CID100002269,azithromycin,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
CID100002274,aztreonam,CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N
CID100002284,baclofen,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
CID100002307,beclomethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)Cl)C
CID100002308,beclomethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)Cl)C
CID100002311,benazepril,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O
CID100002315,bendrofluazide,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
CID100002337,benzocaine,CCOC(=O)C1=CC=C(C=C1)N
CID100002341,benzphetamine,CC(CC1=CC=CC=C1)N(C)CC2=CC=CC=C2
CID100002344,benztropine,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4
CID100002345,benzyl,[CH2]C1=CC=CC=C1
CID100002349,penicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C
CID100002350,bepotastine,
CID100002351,bepridil,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3
CID100002366,betahistine,CNCCC1=CC=CC=N1
CID100002367,dexamethasone,
CID100002369,betaxolol,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
CID100002370,bethanechol,CC(C[N+](C)(C)C)OC(=O)N
CID100002375,bicalutamide,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
CID100002391,bisacodyl,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3
CID100002405,bisoprolol,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O
CID100002431,bretylium,CC[N+](C)(C)CC1=CC=CC=C1Br
CID100002435,brimonidine,
CID100002441,bromazepam,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3
CID100002442,bromhexine,CN(CC1=C(C(=CC(=C1)Br)Br)N)C2CCCCC2
CID100002443,bromocriptine,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O
CID100002462,budesonide,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C
CID100002471,bumetanide,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
CID100002474,bupivacaine,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
CID100002476,buprenorphine,CC(C)(C)C(C)(C1CC23CCC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)O
CID100002477,buspirone,
CID100002478,busulfan,
CID100002479,butabarbital,CCC(C)C1(C(=O)NC(=O)NC1=O)CC
CID100002484,butenafine,CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32
CID100002487,butorphanol,C1CCC2(C3CC4=C(C2(C1)CCN3CC5CCC5)C=C(C=C4)O)O
CID100002512,cabergoline,CCNC(=O)N(CCCN(C)C)C(=O)C1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)CC=C
CID100002519,caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
CID100002520,verapamil,
